start_time:2016-12-04 17:09:51,device_id:00000001,cmd_cnt:35
_time,G_STA,G_LON,G_LAT,G_ALT,G_pdop,G_hdop,G_vdop,G_SPD,G_DIR,G_DATE,G_TIME,SL_V,SL_GPS,SL_BD,G_MODE,_0100,_0101,_0102,_0103,_0104,_0105,_0106,_0107,_010c,_010d,_010e,_010f,_0110,_0111,_0115,_011f,_0121,_0124,_012e,_0130,_0131,_0133,_0134,_013c,_013e,_0142,_0143,_0144,_0145,_0147,_0149,_014a,_014c,_014d,_014e
2016-12-04 17:10:34,1,113.34010-E,23.14926-N,-66.3m,1.7,1.1,1.3,0.000,0.000,2016-12-04,09:11:02,17,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,err,410f53,41100011,411130,411500ff,411f0000,41210000,41247fee6999,412e00,4130ff,41314129,41335d,41347ff08000,413c05ab,413e02f9,41422ec4,41430000,41445345,err,414783,414928,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:35,1,113.34010-E,23.14926-N,-66.3m,1.7,1.1,1.3,0.000,0.000,2016-12-04,09:11:03,17,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,err,412e00,4130ff,41314129,err,41347ff28000,413c05ab,413e02f9,41422ec4,41430000,41445345,414500,414783,414928,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:36,1,113.34010-E,23.14926-N,-66.3m,1.8,1.1,1.5,0.000,0.000,2016-12-04,09:11:04,17,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247fee6999,412e00,4130ff,41314129,41335d,err,413c05ab,413e02f9,41422ec4,41430000,41445345,414500,414783,414928,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:37,1,113.34010-E,23.14926-N,-66.3m,1.7,1.1,1.3,0.000,0.000,2016-12-04,09:11:05,17,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247fee698f,412e00,err,41314129,41335d,41347ff08000,413c05ab,413e02f9,41422ec4,41430000,41445345,414500,414783,414928,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:38,1,113.34010-E,23.14926-N,-66.3m,1.7,1.1,1.3,0.000,0.000,2016-12-04,09:11:06,17,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,err,411500ff,411f0000,41210000,41247ff26999,412e00,4130ff,41314129,41335d,41347ff28000,413c05ab,413e02f9,41422ec4,41430000,41445345,414500,414783,err,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:39,1,113.34010-E,23.14926-N,-66.3m,1.7,1.1,1.3,0.000,0.000,2016-12-04,09:11:07,17,12,11,3,4100be1fa813,410100072100,err,err,410400,41054b,410680,41077f,410c0000,err,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff06999,412e00,4130ff,41314129,41335d,41347ff28000,413c05ab,413e02f9,41422ec4,err,41445345,414500,414783,414928,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:40,1,113.34010-E,23.14926-N,-66.3m,1.7,1.1,1.3,0.000,0.000,2016-12-04,09:11:08,17,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff0698f,412e00,4130ff,41314129,41335d,err,413c05ab,413e02f9,41422ec4,41430000,41445345,414500,err,414928,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:41,1,113.34010-E,23.14926-N,-66.3m,1.9,1.1,1.5,0.000,0.000,2016-12-04,09:11:09,17,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,err,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,err,412e00,4130ff,41314129,41335d,41347ff58000,413c05ab,413e02f9,41422ec4,41430000,41445345,414500,414783,414928,414a51,414c29,414d0000,err
2016-12-04 17:10:42,1,113.34010-E,23.14926-N,-66.3m,1.7,1.1,1.3,0.000,0.000,2016-12-04,09:11:10,17,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff2698f,err,4130ff,41314129,41335d,41347fee8000,413c05ab,413e02f9,41422ec4,41430000,41445345,414500,414783,414928,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:43,1,113.34010-E,23.14926-N,-66.3m,2.3,1.5,1.8,0.000,0.000,2016-12-04,09:11:11,15,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff2698f,412e00,4130ff,41314129,41335d,41347ff08000,413c05ab,413e02f9,41422ec4,41430000,41445345,414500,414783,414928,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:44,1,113.34010-E,23.14926-N,-66.3m,2.3,1.4,1.7,0.000,0.000,2016-12-04,09:11:12,16,12,11,3,4100be1fa813,410100072100,err,41030100,410400,err,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff26999,412e00,4130ff,41314129,41335d,41347ff28000,413c05ab,413e02f9,err,41430000,41445345,414500,414783,414928,414a51,414c29,414d0000,414e7cc7
2016-12-04 17:10:45,1,113.34010-E,23.14926-N,-66.3m,1.7,1.1,1.3,0.000,0.000,2016-12-04,09:11:13,17,12,11,3,4100be1fa813,410100072100,err,41030100,err,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,err,41210000,41247fee6999,412e00,err,41314129,41335d,41347ff28000,413c05ab,413e02f9,41422ec4,err,41445345,414500,414783,414928,414a51,414c29,414d0000,err
2016-12-04 17:10:46,1,113.34010-E,23.14926-N,-66.3m,2.3,1.4,1.7,0.000,0.000,2016-12-04,09:11:14,16,12,11,3,4100be1fa813,err,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247ff2698f,412e00,4130ff,41314129,41335d,41347ff08000,err,413e02f9,41422ec4,41430000,41445345,414500,414783,414928,414a51,414c29,414d0000,414e7cc8
2016-12-04 17:10:47,1,113.34010-E,23.14926-N,-66.3m,1.9,1.2,1.5,0.000,0.000,2016-12-04,09:11:15,17,12,11,3,4100be1fa813,err,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,err,41247ff5698f,412e00,4130ff,41314129,41335d,41347ff08000,413c05ab,err,41422ec4,41430000,41445345,err,414783,414928,414a51,414c29,414d0000,414e7cc8
2016-12-04 17:10:48,1,113.34010-E,23.14926-N,-66.3m,1.9,1.2,1.5,0.000,0.000,2016-12-04,09:11:16,16,12,11,3,4100be1fa813,410100072100,err,41030100,err,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247fee698f,412e00,4130ff,41314129,err,41347fee8000,413c05ab,413e02f9,41422ec4,41430000,41445345,414500,414783,414928,414a51,414c29,414d0000,414e7cc8
2016-12-04 17:10:49,1,113.34010-E,23.14926-N,-66.3m,1.9,1.1,1.5,0.000,0.000,2016-12-04,09:11:17,17,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,err,411f0000,41210000,41247fee6999,412e00,4130ff,41314129,41335d,41347ff08000,413c05ab,413e02f9,41422ec4,41430000,41445345,414500,414783,414928,414a51,414c29,414d0000,err
2016-12-04 17:10:50,1,113.34010-E,23.14926-N,-66.3m,1.9,1.1,1.5,0.000,0.000,2016-12-04,09:11:18,17,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,err,41247ff26999,412e00,4130ff,41314129,41335d,41347ff28000,413c05ab,413e02f9,41422ec4,41430000,41445345,414500,414783,err,414a51,414c29,414d0000,414e7cc8
2016-12-04 17:10:51,1,113.34010-E,23.14926-N,-66.3m,2.3,1.4,1.7,0.000,0.000,2016-12-04,09:11:19,16,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247fee6999,412e00,err,41314129,41335d,41347ff28000,413c05ab,413e02f9,41422ec4,41430000,41445345,414500,414783,414928,414a51,414c29,414d0000,414e7cc8
2016-12-04 17:10:52,1,113.34010-E,23.14926-N,-66.3m,1.7,1.1,1.3,0.000,0.000,2016-12-04,09:11:20,17,12,11,3,4100be1fa813,410100072100,err,41030100,410400,err,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,err,411500ff,411f0000,41210000,41247ff2698f,412e00,4130ff,41314129,41335d,41347ff28000,413c05ab,413e02f9,41422ec4,41430000,41445345,414500,414783,err,414a51,414c29,414d0000,414e7cc8
2016-12-04 17:10:53,16,113.34010-E,23.14926-N,0.0m,2.1,1.2,1.7,0.000,0.000,2016-12-04,09:11:21,12,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247fee6999,412e00,4130ff,41314129,41335d,41347ff28000,err,413e02f9,41422ec4,41430000,41445345,414500,414783,414928,414a51,414c29,414d0000,414e7cc8
2016-12-04 17:10:54,1,113.34010-E,23.14926-N,-66.3m,1.7,1.2,1.3,0.000,0.000,2016-12-04,09:11:22,16,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247fee6999,412e00,4130ff,err,41335d,41347ff58000,413c05ab,413e02f9,41422ec4,41430000,41445345,414500,414783,414928,414a51,414c29,414d0000,414e7cc8
2016-12-04 17:10:55,1,113.34010-E,23.14926-N,-66.3m,1.7,1.1,1.3,0.000,0.000,2016-12-04,09:11:23,17,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,err,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,err,41247ff2698f,err,4130ff,41314129,41335d,41347ff08000,413c05ab,413e02f9,41422ec4,41430000,41445345,414500,414783,414928,414a51,414c29,414d0000,414e7cc8
2016-12-04 17:10:56,1,113.34010-E,23.14926-N,-66.3m,1.3,1.3,1.3,0.000,0.000,2016-12-04,09:11:24,16,12,11,3,4100be1fa813,410100072100,err,41030100,410400,41054b,410680,41077f,410c0000,410d00,410e8a,410f53,41100011,411130,411500ff,411f0000,41210000,41247fee698f,412e00,err,41314129,41335d,41347fee8000,err,413e02f9,41422ec4,err,41445345,414500,err,414928,414a51,414c29,414d0000,414e7cc8
